movie_name,genres
Kabhi Haan Kabhi Naa,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance', 'Back to top']"
Baadshah,"['Slapstick', 'Action', 'Comedy', 'Crime', 'Romance', 'Thriller', 'Back to top']"
Ready,"['Action', 'Comedy', 'Romance', 'Back to top']"
Raat Akeli Hai,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Torbaaz,"['Action', 'Drama', 'Sport', 'Thriller', 'Back to top']"
Student of the Year,"['Comedy', 'Drama', 'Music', 'Romance', 'Sport', 'Back to top']"
Raajneeti,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Once Upon a Time in Mumbaai,"['True Crime', 'Action', 'Crime', 'Drama', 'Romance', 'Back to top']"
Oye Lucky! Lucky Oye!,"['Dark Comedy', 'True Crime', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Dil Dhadakne Do,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Raid,"['Dark Comedy', 'True Crime', 'Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Lootcase,"['Dark Comedy', 'Comedy', 'Crime', 'Back to top']"
Meenakshi Sundareshwar,"['Comedy', 'Romance', 'Back to top']"
Kaminey,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Gangaajal,"['Cop Drama', 'Action', 'Crime', 'Drama', 'Back to top']"
Golmaal: Fun Unlimited,"['Action', 'Comedy', 'Drama', 'Back to top']"
Iqbal,"['Drama', 'Sport', 'Back to top']"
Bhool Bhulaiyaa 2,"['Comedy', 'Horror', 'Back to top']"
Sarkar,"['Gangster', 'Action', 'Crime', 'Drama', 'Back to top']"
Band Baaja Baaraat,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Singham,"['Cop Drama', 'One-Person Army Action', 'Action', 'Crime', 'Drama', 'Back to top']"
Angrezi Medium,"['Comedy', 'Drama', 'Back to top']"
Kalank,"['Drama', 'Romance', 'Back to top']"
Shahid,"['Biography', 'Drama', 'Back to top']"
Runway 34,"['Docudrama', 'Drama', 'Thriller', 'Back to top']"
Race 2,"['Action', 'Crime', 'Thriller', 'Back to top']"
Baghban,"['Drama', 'Romance', 'Back to top']"
The Legend of Bhagat Singh,"['Action', 'Biography', 'Drama', 'History', 'Back to top']"
Nayak: The Real Hero,"['One-Person Army Action', 'Action', 'Drama', 'Thriller', 'Back to top']"
The Big Bull,"['Biography', 'Crime', 'Drama', 'Mystery', 'Back to top']"
Love Aaj Kal,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Border,"['Period Drama', 'War Epic', 'Action', 'Drama', 'History', 'Thriller', 'War', 'Back to top']"
Badhaai Do,"['Crime', 'Drama', 'Back to top']"
Khakee,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Dhamaal,"['Action', 'Adventure', 'Comedy', 'Back to top']"
Garam Masala,"['Slapstick', 'Comedy', 'Romance', 'Back to top']"
Tanu Weds Manu,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mission Mangal,"['Drama', 'History', 'Back to top']"
Karwaan,"['Adventure', 'Comedy', 'Drama', 'Back to top']"
Lootera,"['Period Drama', 'Drama', 'Romance', 'Back to top']"
Satyameva Jayate 2,"['Action', 'Crime', 'Drama', 'Back to top']"
October,"['Drama', 'Romance', 'Back to top']"
Shaadi Mein Zaroor Aana,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Mujhse Shaadi Karogi,"['Slapstick', 'Comedy', 'Romance', 'Back to top']"
Chalte Chalte,"['Drama', 'Romance', 'Back to top']"
Section 375,"['Legal Drama', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Hungama,"['Slapstick', 'Comedy', 'Drama', 'Romance', 'Back to top']"
Company,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Singh Is Kinng,"['Slapstick', 'Action', 'Comedy', 'Crime', 'Drama', 'Romance', 'Back to top']"
Mr. India,"['Superhero', 'Action', 'Comedy', 'Drama', 'Family', 'Musical', 'Sci-Fi', 'Back to top']"
Pyaar Ka Punchnama 2,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Kaho Naa... Pyaar Hai,"['Action', 'Musical', 'Romance', 'Thriller', 'Back to top']"
Hasee Toh Phasee,"['Comedy', 'Romance', 'Back to top']"
Shikara,"['Drama', 'History', 'Romance', 'Back to top']"
Dostana,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Satya,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Manikarnika: The Queen of Jhansi,"['Action', 'Biography', 'Drama', 'History', 'Back to top']"
Gulaal,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Water,"['Drama', 'Back to top']"
Pardes,"['Drama', 'Musical', 'Romance', 'Back to top']"
Heyy Babyy,"['Comedy', 'Drama', 'Back to top']"
Race,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Raman Raghav 2.0,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Housefull 2,"['Action', 'Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Ajab Prem Ki Ghazab Kahani,"['Romantic Comedy', 'Slapstick', 'Action', 'Comedy', 'Musical', 'Romance', 'Back to top']"
The Girl on the Train,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Bala,"['Comedy', 'Back to top']"
Go Goa Gone,"['Action', 'Adventure', 'Comedy', 'Horror', 'Sci-Fi', 'Back to top']"
Karan Arjun,"['Action', 'Drama', 'Fantasy', 'Romance', 'Back to top']"
Madaari,"['Drama', 'Thriller', 'Back to top']"
Housefull,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Hum Tum,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Dream Girl,"['Comedy', 'Romance', 'Back to top']"
AK vs AK,"['Dark Comedy', 'Action', 'Comedy', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Asoka,"['Action', 'Biography', 'Drama', 'History', 'Romance', 'War', 'Back to top']"
Cocktail,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Jaane Bhi Do Yaaro,"['Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Drama', 'Back to top']"
Desi Boyz,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Vaastav: The Reality,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Gold,"['Drama', 'History', 'Sport', 'Back to top']"
Kedarnath,"['Drama', 'Romance', 'Back to top']"
The Ghazi Attack,"['Action', 'Drama', 'Thriller', 'War', 'Back to top']"
Athadu,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Yes Boss,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Paheli,"['Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance', 'Back to top']"
Aankhen,"['Crime', 'Drama', 'Thriller', 'Back to top']"
NH10,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Bhagam Bhag,"['Slapstick', 'Comedy', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Dhobi Ghat,"['Drama', 'Back to top']"
Sanam Teri Kasam,"['Drama', 'Musical', 'Romance', 'Back to top']"
Chachi 420,"['Comedy', 'Drama', 'Family', 'Romance', 'Back to top']"
Te3n,"['Crime', 'Drama', 'Mystery', 'Thriller', 'Back to top']"
Brothers,"['Martial Arts', 'Action', 'Drama', 'Sport', 'Back to top']"
Humpty Sharma Ki Dulhania,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Veere Di Wedding,"['Comedy', 'Back to top']"
Chandigarh Kare Aashiqui,"['Crime', 'Drama', 'Back to top']"
Tees Maar Khan,"['Caper', 'Comedy', 'Crime', 'Back to top']"
Table No.21,"['Adventure', 'Drama', 'Thriller', 'Back to top']"
Gulabo Sitabo,"['Comedy', 'Drama', 'Back to top']"
Miss Lovely,"['Crime', 'Drama', 'Romance', 'Back to top']"
Housefull 4,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Romance', 'Back to top']"
Mardaani,"['Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Fashion,"['Drama', 'Romance', 'Back to top']"
Chupke Chupke,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Partner,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Trapped,"['Drama', 'Thriller', 'Back to top']"
Johnny Gaddaar,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Peepli [Live],"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'Back to top']"
Maine Pyar Kiya,"['Drama', 'Musical', 'Romance', 'Back to top']"
Baaghi 3,"['One-Person Army Action', 'Action', 'Adventure', 'Thriller', 'Back to top']"
Hichki,"['Comedy', 'Drama', 'Back to top']"
Ittefaq,"['Crime', 'Mystery', 'Thriller', 'Back to top']"
Badrinath Ki Dulhania,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Karthik Calling Karthik,"['Drama', 'Mystery', 'Romance', 'Thriller', 'Back to top']"
Saala Khadoos,"['Boxing', 'Action', 'Drama', 'Sport', 'Back to top']"
Paa,"['Comedy', 'Drama', 'Back to top']"
Life in a Metro,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
No Entry,"['Comedy', 'Drama', 'Musical', 'Romance', 'Back to top']"
Bheja Fry,"['Satire', 'Comedy', 'Drama', 'Back to top']"
Billu,"['Comedy', 'Drama', 'Back to top']"
Sonchiriya,"['Action', 'Crime', 'Drama', 'Western', 'Back to top']"
No One Killed Jessica,"['True Crime', 'Biography', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Fukrey,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Bulbbul,"['Drama', 'Horror', 'Mystery', 'Back to top']"
Batla House,"['Cop Drama', 'True Crime', 'Action', 'Crime', 'Drama', 'History', 'Thriller', 'Back to top']"
Mohenjo Daro,"['Action', 'Adventure', 'Drama', 'History', 'Back to top']"
Ankhon Dekhi,"['Comedy', 'Drama', 'Back to top']"
Bachna Ae Haseeno,"['Comedy', 'Drama', 'Romance', 'Back to top']"
Ghulam,"['Action', 'Crime', 'Drama', 'Romance', 'Thriller', 'Back to top']"
New York,"['Crime', 'Drama', 'Thriller', 'Back to top']"
Luka Chuppi,"['Comedy', 'Romance', 'Back to top']"
MSG: The Messenger of God,"['Action', 'Comedy', 'Drama', 'Fantasy', 'Back to top']"
Aamir,"['Conspiracy Thriller', 'Psychological Thriller', 'Action', 'Crime', 'Drama', 'Thriller', 'Back to top']"
Gadar: Ek Prem Katha,"['One-Person Army Action', 'Period Drama', 'Action', 'Drama', 'Romance', 'Back to top']"
Jayeshbhai Jordaar,"['Comedy', 'Drama', 'Back to top']"
