,imdb-id,movie_name,year_of_release,runtime,IMDB_rating,no_of_votes,plot_description,director,actors
4560,tt0269826,Sargam,(1950),135 min,6.9,38,Add a Plot,P.L. Santoshi,"    P.L. Santoshi|     Raj Kapoor, Rehana, Om Prakash, David Abraham"
4561,tt0268520,Pakhandi,(1984),138 min,6.5,38,Add a Plot,Samir Ganguly,"    Samir Ganguly|     Shashi Kapoor, Sanjeev Kumar, Zeenat Aman, Asha Parekh"
4562,tt0265902,Trilok Sundari,(1980), ,7.8,38,Add a Plot,Singeetam Srinivasa Rao,"    Singeetam Srinivasa Rao|     Mohan Babu, Pandari Bai, Madhavi, Madhu Malini"
4563,tt0259547,Samar,(1998),126 min,7.3,38,India's caste system depicted in film within a film,Shyam Benegal,"    Shyam Benegal|     Rajeshwari Sachdev, Rajit Kapoor, Ravi Jhankal, Raghuvir Yadav"
4564,tt0255593,Shaadi Ke Baad,(1972),134 min,5.1,38,"Widower Bhagat Ram lives a wealthy lifestyle in a small village in India, along with his son, Shyam, who is an Advocate in Bombay, and makes a living as a Hindu Priest. He receives a ...                See full summary »",L.V. Prasad,"    L.V. Prasad|     Jeetendra, Rakhee Gulzar, Shatrughan Sinha, Shyama"
4565,tt0235963,Akashdeep,(1965),136 min,6.8,38,"Shankar, who saw his poor father die a disappointed death, works very hard and goes on to become a mill owner. His brother Madhu, however, prefers to run their father's old tea stall. Watch...                See full summary »",Phani Majumdar,"    Phani Majumdar|     Dharmendra, Mehmood, Nanda Karnataki, Ashok Kumar"
4566,tt0234701,Shandaar,(1974),145 min,6.6,38,"A kind-hearted business tycoon, whose daughter was killed in an accident, takes a liking to an employee's daughter.",R. Krishnan,"    R. Krishnan, S. Panju|     Sanjeev Kumar, Sharmila Tagore, Vinod Mehra, Aruna Irani"
4567,tt0230028,Be-Reham,(1980),147 min,6.7,38,Add a Plot,Raghunath Jhalani,"    Raghunath Jhalani|     Sanjeev Kumar, Mala Sinha, Shatrughan Sinha, Reena Roy"
4568,tt0178194,Aap Beati,(1976),145 min,5.9,38,"The Kapoor family consists of Kishorilal, his wife Lajjo, son, Prakash, and daughter, Geeta. Kishorilal and Geeta toil hard to ensure that Prakash gets a good education so that he can study...                See full summary »",Mohan Kumar,"    Mohan Kumar|     Shashi Kapoor, Hema Malini, Ashok Kumar, Nirupa Roy"
4569,tt0175729,Hercules,(1964),142 min,5.3,38,Add a Plot,Shriram,"    Shriram|     Dara Singh Randhawa, Mumtaz Askari, Dorothy, Habib"
4570,tt0175420,Aag,(1967), ,6.0,38,"Shanker is a young man who lives in a small village community with his mute sister, Durgi, and his mom, Shanti. Shanker's efforts to get Durgi married are all in vain. The local ...                See full summary »",Naresh Kumar,"    Naresh Kumar|     Feroz Khan, Mumtaz Askari, Achala Sachdev, Aruna Irani"
4571,tt0157964,Man Mandir,(1971),142 min,5.1,38,"Deepak and his sister Laxmi struggle to survive due to lack of money till they meet Krishna. However, things take a drastic turn when Deepak's wife Krishna dies leaving behind a child.",Tapi Chanakya,"    Tapi Chanakya|     Waheeda Rehman, Sanjeev Kumar, Sudesh Kumar, David Abraham"
4572,tt0157524,Dekh Kabira Roya,(1957),141 min,7.7,38,"Mohan, Pradeep and Ranjeet are struggling artistes who share the same house. When they decide to help each other find love by using their talents, their lives get entangled and chaos ensues.",Amiya Chakrabarty,"    Amiya Chakrabarty|     Anita Guha, Anoop Kumar, Jawahar Kaul, Ameeta"
4573,tt0156287,Angulimaal,(1960),153 min,6.4,38,A scholar is compelled to live up to his astrological prophecy of being a brutal killer.,Vijay Bhatt,"    Vijay Bhatt|     Nimmi, Bharat Bhushan, Anita Guha, Chandrashekhar Vaidya"
4574,tt0154821,Majaal,(1987),180 min,5.3,38,"Vijay Kumar (Jeetendra) is an orphan brought up by an Advocate, Chaudhary Kailash Nath (Kader Khan) and becomes a lawyer himself. He is in love with Sadhana (Sridevi), Kailash Nath's ...                See full summary »",K. Bapaiah,"    K. Bapaiah|     Sadashiv Amrapurkar, Vikas Anand, Govardhan Asrani, Prem Chopra"
4575,tt0154720,Kasak,(1992),150 min,5.6,38,Divya loved Suraj who is now no more she marries Vijay for the sake of her family and plans to divorce him soon but will Vijay agree to her terms.,K. Bapaiah,"    K. Bapaiah|     Aparajita, Govardhan Asrani, Laxmikant Berde, Jack Gaud"
4576,tt0139749,Zindagi Aur Khwab,(1961), ,7.1,38,"The Story is about Shanti,an orphan,whose stepmother tortured her. Finally,she was married off to Shankar, who was criminal and much older than her. Shankar Murders Chandabai a Mujrawali ...                See full summary »",S. Bannerjee,"    S. Bannerjee|     Rajendra Kumar Tuli, Meena Kumari, Jayant, Agha"
4577,tt0115668,Bhishma,(1996),125 min,4.2,38,"Paro, her mother, and her brother, Natwar, find an unconscious man near their town. They bring him over to their house, nurse and nurture him back to good health, only to find out that he ...                See full summary »",Jagdish A. Sharma,"    Jagdish A. Sharma|     Mithun Chakraborty, Harish, Anjali Jathar, Vani Viswanath"
4578,tt0115541,Angaara,(1996),127 min,4.8,38,"Sagar is a young man who lives with his mom, Saraswati, a college-going brother, Vishal, and a school-going sister, Chutki, in a town in India. His father had abandoned them years ago and ...                See full summary »",Anil Ganguly,"    Anil Ganguly|     Sadashiv Amrapurkar, Suresh Bhagwat, Hemant Birje, Mithun Chakraborty"
4579,tt0112272,Ab Insaf Hoga,(1995),125 min,4.9,38,"Janki lives a poor lifestyle in a small village consisting of her dad, Bhervi Prasad and her mom. She meets and falls in love with her school-teacher, Ramcharan, and both want to get ...                See full summary »",Harish Shah,"    Harish Shah|     Rekha, Mithun Chakraborty, Deepika Amin, Vikas Anand"
4580,tt0069522,Yeh Gulistan Hamara,(1972),134 min,6.7,38,"Vijay has been assigned the task of building a bridge in a small community, that will link China with India. Vijay finds out that the task is an uphill one, as people living on both sides ...                See full summary »",Atma Ram,"    Atma Ram|     Dev Anand, Sharmila Tagore, Pran Sikand, Sujit Kumar"
4581,tt8943662,Raahgir,(2019),85 min,7.9,37,"The Wayfarers (Raahgir) is an emotional portrayal of encounters between poverty-stricken strangers that, in order to find new economic opportunities, have to traverse the vast country of ...                See full summary »",Goutam Ghose,"    Goutam Ghose|     Adil Hussain, Tillotama Shome, Neeraj Kabi, Omkar Das Manikpuri"
4582,tt5912310,Badman,(2016),83 min,4.4,37,"A mad, comic caper where the legendary Bad Man of Bollywood, Gulshan Grover relaunches himself in the film industry, but this time as a hero! With celebrity cameos, hilarious delusional ...                See full summary »",Soumik Sen,"    Soumik Sen|     Gulshan Grover, Rishi Kapoor, Farah Khan, Ajit Andhare"
4583,tt5085386,Mahesh Dattani's Hasmukh Saab ki Wasihat,(2015),82 min,6.6,37,"Hasmukh Saab Ki Wasihat is the story of a rich, autocratic businessman who doesn't relinquish control of his family even after his death. He tries to control them through his will, however he is in for a surprise.",Mahesh Dattani,"    Mahesh Dattani|     Mohan Agashe, Seema Bhargava, Achint Kaur, Gagan Singh Sethi"
4584,tt4865622,Room: The Mystery,(2015),90 min,4.0,37,Kunal and his friends are driving under the influence of alcohol when they run over a woman and a child. The woman returns as a ghost to take revenge on all those who were responsible for her death.,Faisal Khan,"    Faisal Khan|     Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir"
4585,tt3778178,Houseful,(2009),127 min,6.7,37,Nikhil Banerjee's films are a disaster at the box office and at the festival circuit.,Bappaditya Bandopadhyay,"    Bappaditya Bandopadhyay|     Prasenjit Chatterjee, Rimjhim Gupta, Sreelekha Mitra, Nitya Ganguly"
4586,tt3459430,Supari - The Quest Begins Now,(2014),90 min,6.4,37,In a party full of people a gate crasher was murdered. No one saw who did it .Are they all lying to cover up something big? For DSP Nirmal Pandey the quest begins NOW.,Aamreeta Gautam,"    Aamreeta Gautam|     Sabreen Baker, Swetanshu Bora, Mukesh Ghatiya, Mayuresh Nirhali"
4587,tt2294685,Jeena Hai Toh Thok Daal,(2012),123 min,5.6,37,The horrid realities of underworld crime as well as the changing times of Bihar state.,Manish Vatssalya,"    Manish Vatssalya|     Ravi Kishan, Manish Vatssalya, Yashpal Sharma, Rahul Kumar"
4588,tt1399651,The Impossible Murder,(2010),82 min,6.6,37,"An old lady is killed in a locked room under impossible circumstances. Five witnesses hear her screaming while trying to break open the door to her room. When they enter, she is dead but ...                See full summary »",Sareesh Sudhakaran,"    Sareesh Sudhakaran|     Hemu Adhikari, Minnakshi Das, Ajay Gatlewar, Prakash Jha"
4589,tt1236202,Kaali Topi Lal Rumaal,(2000), ,6.2,37,"Vijay lives a poor lifestyle in India along with his widowed mom and brother, Raja. When their mom become seriously ill, they do not have money to pay for her medicines, Raja steals some ...                See full summary »",Vijay Reddy,"    Vijay Reddy|     Mithun Chakraborty, Zeenat Ibrahim, Kamal Sadanah, Rituparna Sengupta"
4590,tt10334286,Chhorriyan Chhoron Se Kam Nahi Hoti,(2019), ,7.1,37,"The story of a village in Haryana, centered around a girl's struggle to study and become an IPS Officer. Despite, getting no support from her father at home, who thinks Girls are only meant to stay at home.",Rajesh Babbar,"    Rajesh Babbar|     Aniruddh Dave, Rashmi Somvanshi, Satish Kaushik, Sapna Choudhary"
4591,tt0797833,Devaki,(2005),87 min,4.3,37,Add a Plot,Bappaditya Bandopadhyay,"    Bappaditya Bandopadhyay|     Ram Kapoor, Suman Ranganath, Arvin Tucker, Perizaad Zorabian"
4592,tt0442601,Hanste Khelte,(1994), ,6.6,37,"Unhappy at the manner in which things on Earth have regressed to, God issues instructions for the complete destruction of mankind and Earth, as love, sacrifice, kindess and compassion are ...                See full summary »",Bharat Rangachary,"    Bharat Rangachary|     Ishrat Ali, Aparajita, Govardhan Asrani, Rakesh Bedi"
4593,tt0386121,Woh Tera Naam Tha,(2004),150 min,6.8,37,"Orphaned at a very young age, Badruddin alias Badru was taken in by the kind-hearted Ustad Samad Khan, a once popular singer in Bhopal, Madhya Pradesh. During one of his shows, Samad found ...                See full summary »",Kuku Kohli,"    Kuku Kohli|     Arjan Bajwa, Rajat Bedi, Gaurav Chanana, Prem Chopra"
4594,tt0379257,Dhoop Chhaon,(1977), ,5.3,37,"Concerned about the outbreak of plague in a distant rural village in India, Dr. D.D. Sinha asks a number of prominent doctors to go there and treat the ailing and prevent the disease from ...                See full summary »",Prahlad Sharma,"    Prahlad Sharma|     Sanjeev Kumar, Hema Malini, Yogeeta Bali, Om Shivpuri"
4595,tt0364555,Neend Hamari Khwab Tumhare,(1966),134 min,6.6,37,"Nishad lives a wealthy and noble lifestyle with her Delhi-based dad, Khan Bahadur and mom. She has three suitors who would do anything to marry her. The first is Shaukat Khan, the son of ...                See full summary »",Shiv Sahni,"    Shiv Sahni|     Shashi Kapoor, Nanda Karnataki, Balraj Sahni, Shashikala Jawalkar"
4596,tt0363959,Roti Kee Keemat,(1990),130 min,6.2,37,"A village boy falls in love with a girl, who hails from a neighbouring village. They face many obstacles after the girl's father's arch-rival enters their life.",Ramesh Ahuja,"    Ramesh Ahuja|     Somesh Agarwal, Sadashiv Amrapurkar, Rana Jung Bahadur, Bunty"
4597,tt0359552,Khuda Kasam,(1981), ,5.5,37,"Ranvir Singh is in the employ of Raiszada Hukamchand, who is involved in criminal activities. One day Raiszada kills a man named Victor, and asks Ranvir to take the blame for this crime, ...                See full summary »",Lekh Tandon,"    Lekh Tandon|     Vinod Khanna, Tina Ambani, Ajit Khan, Pran Sikand"
4598,tt0359168,Do Matwale,(1991), ,3.3,37,Amar comes from the village to the city in order to seek medical treatment for his mother; as soon as he reaches the city he is robbed of his money. Fortunately for him Ajay manages to come...                See full summary »,Ajay Kashyap,"    Ajay Kashyap|     Sanjay Dutt, Sonam, Chunky Pandey, Shilpa Shirodkar"
4599,tt0355374,Dharma,(1973), ,7.1,37,"Chandan Singh is a dacoit living with in isolation with his followers Bhairav Singh, Mangal Singh and his wife Parvati amongst others. The police, led by Inspector Ajit Singh are fast on ...                See full summary »",Chand,"    Chand|     Pran Sikand, Navin Nischol, Rekha, Ajit Khan"
4600,tt0322814,Jallian Wala Bagh,(1977),185 min,7.2,37,The whole film is a story about Jallianwala Bagh massacre in Amritsar.,Balraj Tah,"    Balraj Tah|     Shabana Azmi, Gulzar, Vinod Khanna, Deepti Naval"
4601,tt0317301,Daadagiri,(1997),138 min,4.6,37,"Two boys, separated from their sister and father in childhood, search for the persons responsible for their family's separation in adulthood.",Arshad Khan,"    Arshad Khan|     Ayub Khan, Ritu Parna, Simran, Nishigandha Wad"
4602,tt0302479,Dil Bhi Tera Hum Bhi Tere,(1960), ,6.9,37,"Panchu Kumtekar lives a near-destitute lifestyle in Bombay along with his school-going brother, Shiri. He makes a living as a con-man, gambling and picking pockets with the assistant of ...                See full summary »",Arjun Hingorani,"    Arjun Hingorani|     Balraj Sahni, Kumkum, Sushil, Mohan Choti"
4603,tt0268162,Ayaash,(1982),131 min,5.2,37,"While most of his countrymen are busy protesting the British rule, Thakur Jaswant Singh chooses to live a carefree life. He hires a personal photographer who soon becomes the reason for his downfall.",Shakti Samanta,"    Shakti Samanta|     Sanjeev Kumar, Rati Agnihotri, Arun Govil, Madan Puri"
4604,tt0262890,Wafadaar,(1985),150 min,4.6,37,Daya Sagar asks his servant Ranga to woo and marry a wealthy girl Seetha. But Ranga is unaware of the evil intentions of his boss. What happens next ?,Dasari Narayana Rao,"    Dasari Narayana Rao, Pilla Srinivas|     Rajinikanth, Padmini Kolhapure, Vijayata Pandit, Anupam Kher"
4605,tt0262458,Haisiyat,(1984),185 min,4.8,37,"A union leader marries his employer, but subsequently gets embroiled in labor/management disputes.",Dasari Narayana Rao,"    Dasari Narayana Rao|     Jeetendra, Jaya Prada, Pran Sikand, Shakti Kapoor"
4606,tt0261037,Mahishasura Mardini,(1959),167 min,9.3,37,Add a Plot,Ranga B.S.,"    Ranga B.S.|     K.S. Ashwath, Ganapathi Bhat, M.N. Lakshmi Devi, Vasudeva Girimaji"
4607,tt0249491,Ek Baar Phir (Once Again),(1980),147 min,6.6,37,"Kalpana has been married to movie actor, Mahender Kumar for years where he keeps himself occupy with his acting career as well as pleasure and has little or no time with her. When they ...                See full summary »",Vinod Pande,"    Vinod Pande|     Suresh Oberoi, Deepti Naval, Pradeep Verma, Chitto Chopra"
4608,tt0246842,Paras,(1971),147 min,6.3,37,"Two siblings witness a murder and bring the killer to justice, only to discover that they have put themselves in a dangerous game of cat and mouse.",C.P. Dixit,"    C.P. Dixit|     Sanjeev Kumar, Rakhee Gulzar, Shatrughan Sinha, Mehmood"
4609,tt0243395,Maa Kasam,(1985),137 min,4.9,37,"Balwant is a ex-convict and former jailbird. He returns home after completing his sentence, and finds out that the wealthy Thakur has a treasure stashed away nearby with a map enclosed in a...                See full summary »",Shibu Mitra,"    Shibu Mitra|     Mithun Chakraborty, Divya Rana, Ranjeet Bedi, Amjad Khan"
4610,tt0234138,Love Marriage,(1984), ,5.2,37,"Rajesh Mehra lives a wealthy lifestyle with his mom, Sarita, and dad. His dad finalizes his marriage with Malti, who is the daughter of equally wealthy, Jagdish Kapoor. When Rajesh is told,...                See full summary »",Mehul Kumar,"    Mehul Kumar|     Govardhan Asrani, Master Bhagwan, C.S. Dubey, Utpal Dutt"
4611,tt0232155,Najma,(1943),121 min,7.5,37,"Yusuf, a promising medical student and the son of a prominent doctor, falls in love with Najma but is forced to marry Raziya after his father fixes his marriage without his consent.",Mehboob Khan,"    Mehboob Khan|     Ashok Kumar, Sitara, Veena, M. Kumar"
